name,source,rarity,reqAttune,bonusSpellAttack,bonusSpellSaveDc,description
Sword of Answering (Rebutter),DMG,legendary,by a neutral good creature,,," In the world of Greyhawk, only nine of these blades are known to exist. Each is patterned after the legendary sword Fragarach, which is variously translated as ""Final Word."" Each of the nine swords has its own name and alignment, and each bears a different gem in its pommel. Rebutter, the Neutral Good sword, has a topaz set in its pommel. You gain a +3 bonus to attack and damage rolls made with this sword. In addition, while you hold the sword, you can use your reaction to make one melee attack with it against any creature in your reach that deals damage to you. You have advantage on the attack roll, and any damage dealt with this special attack ignores any damage immunity or resistance the target has. "
Sword of Answering (Replier),DMG,legendary,by a neutral creature,,," In the world of Greyhawk, only nine of these blades are known to exist. Each is patterned after the legendary sword Fragarach, which is variously translated as ""Final Word."" Each of the nine swords has its own name and alignment, and each bears a different gem in its pommel. Replier, the Neutral sword, has a peridot set in its pommel. You gain a +3 bonus to attack and damage rolls made with this sword. In addition, while you hold the sword, you can use your reaction to make one melee attack with it against any creature in your reach that deals damage to you. You have advantage on the attack roll, and any damage dealt with this special attack ignores any damage immunity or resistance the target has. "
Sword of Answering (Retorter),DMG,legendary,by a lawful good creature,,," In the world of Greyhawk, only nine of these blades are known to exist. Each is patterned after the legendary sword Fragarach, which is variously translated as ""Final Word."" Each of the nine swords has its own name and alignment, and each bears a different gem in its pommel. Retorter, the Lawful Good sword, has an aquamarine set in its pommel. You gain a +3 bonus to attack and damage rolls made with this sword. In addition, while you hold the sword, you can use your reaction to make one melee attack with it against any creature in your reach that deals damage to you. You have advantage on the attack roll, and any damage dealt with this special attack ignores any damage immunity or resistance the target has. "
Sword of Answering (Scather),DMG,legendary,by a lawful evil creature,,," In the world of Greyhawk, only nine of these blades are known to exist. Each is patterned after the legendary sword Fragarach, which is variously translated as ""Final Word."" Each of the nine swords has its own name and alignment, and each bears a different gem in its pommel. Scather, the Lawful Evil sword, has a garnet set in its pommel. You gain a +3 bonus to attack and damage rolls made with this sword. In addition, while you hold the sword, you can use your reaction to make one melee attack with it against any creature in your reach that deals damage to you. You have advantage on the attack roll, and any damage dealt with this special attack ignores any damage immunity or resistance the target has. "
Sword of Answering (Squelcher),DMG,legendary,by a neutral evil creature,,," In the world of Greyhawk, only nine of these blades are known to exist. Each is patterned after the legendary sword Fragarach, which is variously translated as ""Final Word."" Each of the nine swords has its own name and alignment, and each bears a different gem in its pommel. Squelcher, the Neutral Evil sword, has a spinel set in its pommel. You gain a +3 bonus to attack and damage rolls made with this sword. In addition, while you hold the sword, you can use your reaction to make one melee attack with it against any creature in your reach that deals damage to you. You have advantage on the attack roll, and any damage dealt with this special attack ignores any damage immunity or resistance the target has. "
Random Properties,DMG,artifact,by all race,,,['The Sword of Kas has the following random properties:'] 
Spirit of Kas,DMG,artifact,by all race,,,"['While the sword is on your person, you add a {@dice d10} to your initiative at the start of every combat. In addition, when you use an action to attack with the sword, you can transfer some or all of its attack bonus to your Armor Class instead. The adjusted bonuses remain in effect until the start of your next turn.'] "
Spells,DMG,artifact,by all race,,,"[""While the sword is on your person, you can use an action to cast one of the following spells (save 18) from it: {@spell call lightning}, {@spell divine word}, or {@spell finger of death}. Once you use the sword to cast a spell, you can't cast that spell again from it until the next dawn.""] "
Sentience,DMG,artifact,by all race,,,"['The Sword of Kas is a sentient chaotic evil weapon with an Intelligence of 15, a Wisdom of 13, and a Charisma of 16. It has hearing and {@sense darkvision} out to a range of 120 feet.', 'The weapon communicates telepathically with its wielder and can speak, read, and understand Common.'] "
Personality,DMG,artifact,by all race,,,"[""The sword's purpose is to bring ruin to Vecna. Killing Vecna's worshipers, destroying the {@creature lich} works, and foiling his machinations all help to fulfill this goal."", ""The Sword of Kas also seeks to destroy anyone corrupted by the Eye and {@item Hand of Vecna}. The sword's obsession with those artifacts eventually becomes a fixation for its wielder.""] "
Destroying the Sword,DMG,artifact,by all race,,,"['A creature attuned to both the {@item Eye of Vecna} and the {@item Hand of Vecna} can use the wish property of those combined artifacts to unmake the Sword of Kas. The creature must cast the {@spell wish} spell and make a Charisma check contested by the Charisma check of the sword. The sword must be within 30 feet of the creature, or the spell fails. If the sword wins the contest, nothing happens, and the {@spell wish} spell is wasted. If the sword loses the contest, it is destroyed.'] "
Sword of Kas,DMG,artifact,by all race,,," When Vecna grew in power, he appointed an evil and ruthless lieutenant, Kas the Bloody Handed, to act as his bodyguard and right hand. This despicable villain served as advisor, warlord, and assassin. His successes earned him Vecna's admiration and a reward: a sword with as dark a pedigree as the man who would wield it. For a long time, Kas faithfully served the {@creature lich} but as Kas's power grew, so did his hubris. His sword urged him to supplant Vecna, so that they could rule the {@creature lich} empire in Vecna's stead. Legend says Vecna's destruction came at Kas's hand, but Vecna also wrought his rebellious lieutenant's doom, leaving only Kas's sword behind. The world was made brighter thereby. The Sword of Kas is a magic, sentient longsword that grants a +3 bonus to attack and damage rolls made with it. It scores a critical hit on a roll of 19 or 20, and deals an extra {@damage 2d10} slashing damage to undead. If the sword isn't bathed in blood within 1 minute of being drawn from its scabbard, its wielder must make a DC 15 Charisma saving throw. On a successful save, the wielder takes {@damage 3d6} psychic damage. On a failed save, the wielder is dominated by the sword, as if by the {@spell dominate monster} spell, and the sword demands that it be bathed in blood. The spell effect ends when the sword's demand is met. "
Talisman of Pure Good,DMG,legendary,by a creature of good alignment,+2,," This talisman is a mighty symbol of goodness. A creature that is neither good nor evil in alignment takes {@damage 6d6} radiant damage upon touching the talisman. An evil creature takes {@damage 8d6} radiant damage upon touching the talisman. Either sort of creature takes the damage again each time it ends its turn holding or carrying the talisman. If you are a good cleric or paladin, you can use the talisman as a holy symbol, and you gain a +2 bonus to spell attack rolls while you wear or hold it. The talisman has 7 charges. If you are wearing or holding it, you can use an action to expend 1 charge from it and choose one creature you can see on the ground within 120 feet of you. If the target is of evil alignment, a flaming fissure opens under it. The target must succeed on a DC 20 Dexterity saving throw or fall into the fissure and be destroyed, leaving no remains. The fissure then closes, leaving no trace of its existence. When you expend the last charge, the talisman disperses into motes of golden light and is destroyed. "
Talisman of the Sphere,DMG,legendary,by all race,,," When you make an Intelligence ({@skill Arcana}) check to control a {@item sphere of annihilation} while you are holding this talisman, you double your proficiency bonus on the check. In addition, when you start your turn with control over a {@item sphere of annihilation}, you can use an action to levitate it 10 feet plus a number of additional feet equal to 10 × your Intelligence modifier. "
Talisman of Ultimate Evil,DMG,legendary,by a creature of evil alignment,+2,," This item symbolizes unrepentant evil. A creature that is neither good nor evil in alignment takes {@damage 6d6} necrotic damage upon touching the talisman. A good creature takes {@damage 8d6} necrotic damage upon touching the talisman. Either sort of creature takes the damage again each time it ends its turn holding or carrying the talisman. If you are an evil cleric or paladin, you can use the talisman as a holy symbol, and you gain a +2 bonus to spell attack rolls while you wear or hold it. The talisman has 6 charges. If you are wearing or holding it, you can use an action to expend 1 charge from the talisman and choose one creature you can see on the ground within 120 feet of you. If the target is of good alignment, a flaming fissure opens under it. The target must succeed on a DC 20 Dexterity saving throw or fall into the fissure and be destroyed, leaving no remains. The fissure then closes, leaving no trace of its existence. When you expend the last charge, the talisman dissolves into foul-smelling slime and is destroyed. "
Talking Doll,XGE,common,by all race,,," While this stuffed doll is within 5 feet of you, you can spend a short rest telling it to say up to six phrases, none of which can be more than six words long, and set an observable condition under which the doll speaks each phrase. You can also replace old phrases with new ones. Whatever the condition, it must occur within 5 feet of the doll to make it speak. For example, whenever someone picks up the doll, it might say, ""I want a piece of candy."" The doll's phrases are lost when your attunement to the doll ends. "
Tankard,PHB,none,False,,, A tankard holds 1 pint of liquid. 
Tankard of Sobriety,XGE,common,False,,," This tankard has a stern face sculpted into one side. You can drink ale, wine, or any other nonmagical alcoholic beverage poured into it without becoming inebriated. The tankard has no effect on magical liquids or harmful substances such as poison. "
Tantan,SCAG,none,False,,," A tambourine, a popular instrument with halflings and humans south of the Dalelands. "
Using the Teeth,TCE,artifact,by all race,,,"['While you are holding the pouch, you can use an action to draw one tooth. Roll on the Teeth of Dahlver-Nar table to determine which tooth you draw, and you can either sow the tooth or implant it (both of which are described later).', ""If you don't sow or implant the tooth, roll a die at the end of your turn. On an even number, the tooth vanishes, and creatures appear as if you sowed the tooth, but they are hostile to you and your allies. On an odd number, the tooth replaces one of your teeth as if you implanted it (potentially replacing another implanted tooth, see below)."", ""Each tooth can only be used once. Track which teeth have been used. If a tooth's result is rolled after it's been used, you draw the next lowest unused tooth on the table."", {'type': 'table', 'caption': 'Teeth of Dahlver-Nar', 'colLabels': ['d20', 'Tale and Tooth', 'Creatures Summoned', 'Implanted Effect'], 'colStyles': ['col-2 text-center', 'col-2', 'col-1', 'col-7'], 'rows': [['1', 'The Staring Cats of Uldun-dar (ivory cat molar)', '9 {@creature cat}', 'The tooth has 8 charges. As an action, you can expend 1 charge to cast the {@spell revivify} spell from the tooth. If you are dead at the start of your turn, the tooth expends 1 charge and casts {@spell revivify} on you.'], ['2', ""Duggle's Surprising Day (human molar)"", '1 {@creature commoner}', 'When you finish a long rest, the tooth casts {@spell sanctuary} (DC 18) on you, and the spell lasts for 24 hours or until you break it.'], ['3', 'The Golden Age of Dhakaan (golden goblin bicuspid)', '10 {@creature goblin}, 1 {@creature goblin boss}', ""When you are hit by an attack and an ally is within 5 feet of you, you can use your reaction to cause them to be hit instead. You can't use this reaction again until you finish a short or long rest.""], ['4', 'The Mill Road Murders (halfling canine)', '3 {@creature green hag} in a coven', ""When you damage a target that hasn't taken a turn in this combat, the target takes an extra {@damage 3d10} slashing damage from ghostly blades.""], ['5', 'Dooms of the Malpheggi (emerald lizardfolk fang)', '1 {@creature lizard queen} and 4 {@creature lizardfolk}', 'You gain reptilian scales, granting you a +2 bonus to your AC. Additionally, when you finish a long rest, you must succeed on a DC 15 Constitution saving throw or gain 1 level of {@condition exhaustion}.'], ['6', ""The Stable Hand's Secret (sweet-tasting human canine)"", '2 {@creature Incubus}', 'When you make a Charisma check against a humanoid, you can roll a {@dice d10} and add the number rolled as a bonus to the result. The creature then becomes hostile to you at the next dawn.'], ['7', ""The Donkey's Dream (rainbow-colored donkey molar)"", '1 {@creature unicorn}', 'The tooth has 3 charges. As an action, you can expend 1 charge to touch a creature. The target regains {@dice 2d8 + 2} hit points, and all diseases and poisons affecting it are removed. When you use this action, a shimmering image of a unicorn\'s horn appears until the end of your turn, sprouting from your forehead. The tooth regains all expended charges daily at dawn. You gain the following flaw: ""When I see wickedness in action, I must oppose it.""'], ['8', 'Beyond the Rock of Bral (silver mind flayer tooth)', '2 {@creature mind flayer}', 'You gain telepathy out to 120 feet as described in the Monster Manual, and you can cast the {@spell detect thoughts} spell at will, requiring no components. You also have disadvantage on Wisdom ({@skill Insight}) and Wisdom ({@skill Perception}) checks from constant whispers of memories and nearby minds.'], ['9', 'The Disappearances of Half Hollow (vomerine tooth of a Large toad)', '4 {@creature giant toad}', 'Your long jump is up to 30 feet and your high jump is up to 15 feet, with or without a running start.'], ['10', 'Legendry of Phantoms and Ghosts (obsidian human molar)', '1 {@creature giant octopus}, 1 {@creature mage}, 1 {@creature specter}', ""As an action, you can use the tooth to cast the {@spell Evard's black tentacles} spell (DC 18). Once this property is used, it can't be used again until the next dawn.""], ['11', 'The Thousand Deaths of Jander Sunstar (yellowed vampire fang)', '1 {@creature vampire}', ""You can make a bite attack as an unarmed strike. On a hit, it deals {@damage 1d6} piercing damage plus {@damage 3d6} necrotic damage. You regain a number of hit points equal to the necrotic damage dealt. While you are in sunlight, you can't regain hit points.""], ['12', 'Nightmares of Kaggash (twisted beholder tooth)', '1 {@creature beholder}', ""As an action, you can cast the {@spell eyebite} spell from the tooth. Once you use this action, it can't be used again until the next dawn. Whenever you finish a long rest, roll a {@dice d20}. On a 20, an aberration chosen by the DM appears within 30 feet of you and attacks.""], ['13', 'Three Bridges to the Sky (lapis lazuli oni fang)', '3 {@creature oni}', ""You gain a flying speed of 30 feet, and you can use the tooth to cast the {@spell detect magic} spell at will. While you are attuned to fewer than 3 magic items, you gain 1 level of {@condition exhaustion} that can't be removed until you are attuned to three or more magic items.""], ['14', 'The Claws of Dragotha (broken translucent fang)', '1 {@creature adult red dracolich}', ""You can use the tooth to cast the {@spell create undead} spell. Once this property is used, it can't be used again until the next dawn. Each time you create an undead creature using the tooth, a {@creature skeleton}, {@creature zombie}, or {@creature ghoul} also appears at a random location within 5 miles of you, searching for the living to kill. A humanoid killed by these undead rises as the same type of undead at the next midnight.""], ['15', 'Ashes of the Ages and Eternal Fire (jade humanoid bicuspid)', '1 {@creature dao}, 1 {@creature djinni}, 1 {@creature efreeti}, 1 {@creature marid}', ""You can use the tooth to cast {@spell counterspell} at 9th level. Once you use this property, it can't be used again until the next dawn. Whenever you finish a long rest, if you haven't used the tooth to counter a spell since your last long rest, your hit point maximum is reduced by {@dice 2d10}. If this reduces your hit point maximum to 0, you die.""], ['16', 'Daughters of Bel (green steel pit fiend fang)', '1 {@creature pit fiend}', ""You can use the tooth to cast {@spell dominate monster} (DC 18). Once you use this property, it can't be used again until the next dawn. You smell strongly of burning sulfur.""], ['17', 'Why the Sky Screams (blue dragon fang)', '1 {@creature ancient blue dragon}', 'You gain immunity to lightning damage and vulnerability to thunder damage.'], ['18', 'The Last Tarrasque (jagged sliver of tarrasque tooth)', '1 {@creature tarrasque} (ignores you and your commands appears for {@dice 1d4} rounds then vanishes)', ""You deal double damage to objects and structures. If you take 20 or more damage in one turn, you must succeed on a DC 18 Wisdom saving throw or spend your next turn in a murderous fury. During this rage, you must use your action to make an unarmed strike against a creature that damaged you, or a random creature you can see if you weren't damaged by a creature, moving as close as you can to the target if necessary.""], ['19', ""Incendax's Tooth (ruby-veined red dragon fang)"", '1 {@creature ancient red dragon}', 'You gain immunity to fire damage, and as an action, you can exhale fire in a 90-foot cone. Each creature in that area must make a DC 24 Dexterity saving throw, taking {@damage 26d6} fire damage on a failed save, or half as much damage on a successful one. After using the breath weapon, you gain 2 levels of {@condition exhaustion}.'], ['20', ""Dahlver-Nar's Tooth (dusty human molar)"", '1 {@creature priest}', ""As an action you can call on a divine force to come to your aid. Describe the assistance you seek, and the DM decides the nature of the intervention (the effect of any cleric spell would be appropriate). Once this property is used, it can't be used again for 7 days.""]]}] "
Sowing Teeth,TCE,artifact,by all race,,,"['To sow the tooth, you place it on the ground in an unoccupied space within your reach, or you throw it into an unoccupied space within 10 feet of you in a body of water that is at least 50 feet wide and 50 feet long. Upon doing so, the tooth burrows into the ground and vanishes, leaving no hole behind, or it vanishes into the water. The creatures noted in the Creatures Summoned column appear in an unoccupied space as close to where the tooth was sown as possible. The creatures are allies to you, speak all languages you speak, and linger for 10 minutes before disappearing, unless otherwise noted.'] "
Implanting Teeth,TCE,artifact,by all race,,,"[""To implant the tooth, you place it in your mouth, whereupon one of your own teeth falls out, and the drawn tooth takes its place, resizing to fit in your mouth. Once the tooth is implanted, you gain the effect noted in the Implanted Effect column. The tooth can't be removed while you are attuned to the teeth, and you can't voluntarily end your attunement to them. If removed after your death, the tooth vanishes. You can have a maximum number of the teeth implanted at one time equal to 1 + your Constitution modifier (minimum of 2 teeth total). If you try to implant more teeth, the newly implanted tooth replaces one of the previous teeth, determined randomly. The replaced tooth vanishes, and you lose the implanted effect.""] "
Recovering Teeth,TCE,artifact,by all race,,,"['Once all the teeth have vanished, their pouch also vanishes. The pouch with all the teeth then appears in a random destination, which could be on a different world of the Material Plane.'] "
Destroying the Teeth,TCE,artifact,by all race,,,"[""Each tooth must be destroyed individually by sowing it in the area where the tooth's story originated, with the intention to destroy it. When planted in this way, creatures summoned are not friendly to you and do not vanish. Some of the creatures summoned merely head off in search of home, while others act as their tales dictate. In either case, the tooth is gone forever.""] "
Teeth of Dahlver-Nar,TCE,artifact,by all race,,," The Teeth of Dahlver-Nar are stories given form. They are a collection of teeth, each suggestive of wildly different origins and made from various materials. The collection rests within a leather pouch, stitched with images of heroes and whimsical creatures. Where the teeth fall, they bring legends to life. "
Tentacle Rod,DMG,rare,by all race,,," Made by the {@creature drow}, this rod is a magic weapon that ends in three rubbery tentacles. While holding the rod, you can use an action to direct each tentacle to attack a creature you can see within 15 feet of you. Each tentacle makes a melee attack roll with a +9 bonus. On a hit, the tentacle deals {@damage 1d6} bludgeoning damage. If you hit a target with all three tentacles, it must make a DC 15 Constitution saving throw. On a failure, the creature's speed is halved, it has disadvantage on Dexterity saving throws, and it can't use reactions for 1 minute. Moreover, on each of its turns, it can take either an action or a bonus action, but not both. At the end of each of its turns, it can repeat the saving throw, ending the effect on itself on a success. "
Sentience,EGW,artifact,by all race,,,"['The Bloody End is a sentient lawful evil weapon with an Intelligence of 22, a Wisdom of 18, and a Charisma of 24. It has hearing and {@sense darkvision} out to a range of 120 feet.', 'The weapon communicates telepathically with its wielder and can speak, read, and understand Common and Infernal.'] "
Personality,EGW,artifact,by all race,,,"[""A tyrannical {@creature pit fiend} named Izeelzee lives within The Bloody End. The weapon boisterously pushes its wielder to subjugate others and to never back down from a challenge. If the wielder doesn't demand fealty from others, the weapon is happy to demand it on their behalf.""] "
Dormant,EGW,artifact,by all race,,,"['The morningstar grants the following benefits in its dormant state:', {'type': 'list', 'items': ['You can speak, read, and write Infernal.', 'You gain a +1 bonus to attack and damage rolls made with this magic weapon.', ""While holding the morningstar, you can use an action to cast one of the following spells from it (save DC 13): {@spell charm person}, {@spell dominate person}, or {@spell fear}. Once a spell has been cast using the morningstar, that spell can't be cast from it again until the next dawn."", 'While holding the morningstar, you have advantage on Charisma ({@skill Intimidation}) checks.']}] "
Betrayer Artifact Properties,EGW,artifact,by all race,,,"['The Arms of the Betrayers advance in power in the same manner as the Vestiges of Divergence. In its dormant state, each of these artifacts has one {@table Artifact Properties; Minor Beneficial Properties} property and one {@table Artifact Properties; Minor Detrimental Properties} property. When the artifact attains an awakened state, it gains an additional {@table Artifact Properties; Minor Beneficial Properties} property and an additional {@table Artifact Properties; Minor Detrimental Properties} property. When the item reaches its exalted state, it gains a {@table Artifact Properties; Major Beneficial Properties} property. See ""Artifact Properties"" in chapter 7 of the Dungeon Master\'s Guide for more information.'] "
The Bloody End (Dormant),EGW,artifact,by all race,,," Carrying the power of Bane, this adamantine morningstar sports foot-long spikes and has a jagged blade on its pommel. "
Theki Root,EGW,none,False,,," This thick marsh root tastes bitter but is thought to aid digestive health. When you use an action to consume a dose, you gain advantage on saving throws against the effects of poisonous or toxic substances for 8 hours. "
Thelarr,SCAG,none,False,,," Also known as a whistlecane, a simple and easy-to-make wind instrument cut from a reed. They are so simple, in fact, that skilled bards frequently make and give them away to children—to the parents' delight or regret. "
Thieves' Tools,PHB,none,False,,," This set of tools includes a small file, a set of lock picks, a small mirror mounted on a metal handle, a set of narrow-bladed scissors, and a pair of pliers. Proficiency with these tools lets you add your proficiency bonus to any ability checks you make to disarm traps or open locks. "
Thunder Absorbing Tattoo,TCE,very rare,by all race,,, {#itemEntry Absorbing Tattoo} 
Tiger Eye,DMG,none,False,,, A translucent brown with golden center gemstone. 
Tinderbox,PHB,none,False,,," This small container holds flint, fire steel, and tinder (usually dry cloth soaked in light oil) used to kindle a fire. Using it to light a torch—or anything else with abundant, exposed fuel—takes an action. Lighting any other fire takes 1 minute. "
Tocken,SCAG,none,False,,," A hanging set of carved oval bells, usually played with a pair of light wooden hammers (or open handed). They are most common in underground cultures, where the resonant tones can carry. "
Tome of Clear Thought,DMG,very rare,False,,," This book contains memory and logic exercises, and its words are charged with magic. If you spend 48 hours over a period of 6 days or fewer studying the book's contents and practicing its guidelines, your Intelligence score increases by 2, as does your maximum for that score. The manual then loses its magic, but regains it in a century. "
Tome of Leadership and Influence,DMG,very rare,False,,," This book contains guidelines for influencing and charming others, and its words are charged with magic. If you spend 48 hours over a period of 6 days or fewer studying the book's contents and practicing its guidelines, your Charisma score increases by 2, as does your maximum for that score. The manual then loses its magic, but regains it in a century. "
Tome of the Stilled Tongue,DMG,legendary,by a wizard,,," This thick leather-bound volume has a desiccated tongue pinned to the front cover. Five of these tomes exist, and it's unknown which one is the original. The grisly cover decoration on the first tome of the stilled tongue once belonged to a treacherous former servant of the lich-god Vecna, keeper of secrets. The tongues pinned to the covers of the four copies came from other spellcasters who crossed Vecna. The first few pages of each tome are filled with indecipherable scrawls. The remaining pages are blank and pristine. If you can attune to this item, you can use it as a spellbook and an arcane focus. In addition, while holding the tome, you can use a bonus action to cast a spell you have written in this tome, without expending a spell slot or using any verbal or somatic component. Once used, this property of the tome can't be used again until the next dawn. While attuned to the book, you can remove the tongue from the book's cover. If you do so, all spells written in the book are permanently erased. Vecna watches anyone using this tome. He can also write cryptic messages in the book. These messages appear at midnight and fade away after they are read. "
Tome of Understanding,DMG,very rare,False,,," This book contains intuition and insight exercises, and its words are charged with magic. If you spend 48 hours over a period of 6 days or fewer studying the book's contents and practicing its guidelines, your Wisdom score increases by 2, as does your maximum for that score. The manual then loses its magic, but regains it in a century. "
Topaz,DMG,none,False,,, A transparent golden yellow gemstone. 
Topaz Annihilator,FTD,legendary,by all race,,," This magic ranged weapon resembles a {@item musket}, but in lieu of any ammunition, it holds a glowing yellow scale from a topaz dragon in its heart. The weapon has a normal range of 100 feet and a long range of 300 feet, and it has the two-handed property. It deals {@damage 2d6} necrotic damage on a hit. If this damage reduces a creature or object to 0 hit points, the target is reduced to dust. A creature reduced to dust can be restored to life only by a {@spell true resurrection} or {@spell wish} spell. While the weapon is on your person, you can use an action to cast the {@spell disintegrate} spell (save DC 18). Once this property is used, it can't be used again until the next dawn. "
Torch,PHB,none,False,,," A torch burns for 1 hour, providing bright light in a 20-foot radius and dim light for an additional 20 feet. If you make a melee attack with a burning torch and hit, it deals 1 fire damage. "
Torpor,DMG,none,False,,, A creature subjected to this poison must succeed on a DC 15 Constitution saving throw or become {@condition poisoned} for {@dice 4d6} hours. The {@condition poisoned} creature is {@condition incapacitated}. 
Tourmaline,DMG,none,False,,," A transparent pale green, blue, brown, or red gemstone. "
Trident of Fish Command,DMG,uncommon,by all race,,," This trident is a magic weapon. It has 3 charges. While you carry it, you can use an action and expend 1 charge to cast {@spell dominate beast} (save DC 15) from it on a beast that has an innate swimming speed. The trident regains {@dice 1d3} expended charges daily at dawn. "
Trinket,PHB,none,False,,," When you make your character, you can roll once on the Trinkets table to gain a trinket, a simple item lightly touched by mystery. The DM might also use this table. It can help stock a room in a dungeon or fill a creatures pockets. "
Truth Serum,DMG,none,False,,," A creature subjected to this poison must succeed on a DC 11 Constitution saving throw or become {@condition poisoned} for 1 hour. The {@condition poisoned} creature can't knowingly speak a lie, as if under the effect of a {@spell zone of truth} spell. "
Turquoise,DMG,none,False,,, An opaque light blue-green gemstone. 
Two-Person Tent,PHB,none,False,,," A simple and portable canvas shelter, a tent sleeps two. "
Unbreakable Arrow,XGE,common,False,,," This arrow can't be broken, except when it is within an {@spell antimagic field}. "
Universal Solvent,DMG,legendary,False,,," This tube holds milky liquid with a strong alcohol smell. You can use an action to pour the contents of the tube onto a surface within reach. The liquid instantly dissolves up to 1 square foot of adhesive it touches, including {@item sovereign glue}. "
Dormant,EGW,legendary,by all race,,,"['While wearing the Verminshroud in its dormant state, you gain the following benefits:', {'type': 'list', 'items': ['You have advantage on Wisdom ({@skill Perception}) checks that rely on smell, you are immune to disease, and you have {@sense darkvision} out to a range of 60 feet. If you already have {@sense darkvision}, wearing the cloak increases the range of your {@sense darkvision} by 60 feet.', ""As an action, you can use the Verminshroud to cast {@spell polymorph} on yourself, transforming into a {@creature giant rat} or {@creature rat} while retaining your Intelligence, Wisdom, and Charisma scores, as well as the properties of the cloak. This property can't be used again until the next dawn.""]}] "
Verminshroud (Dormant),EGW,legendary,by all race,,, This patchy cloak was pieced together from the pelts of rats found feasting on the dead in Blightshore and is dotted with the bloated corpses of magically preserved insects along its seams. 
Veteran's Cane,XGE,common,False,,," When you grasp this walking cane and use a bonus action to speak the command word, it transforms into an ordinary longsword and ceases to be magical. "
Vial,PHB,none,False,,, A vial can hold up to 4 ounces of liquid. 
Vox Seeker,EGW,common,False,,," This clockwork device resembles a metal crab the size of a dinner plate. Every action used to wind up the device allows it to operate for 1 minute, to a maximum of 10 minutes. While operational, the item uses the accompanying {@creature Vox Seeker} stat block. This automaton is under the DM's control. A vox seeker reduced to 0 hit points is destroyed. "
Wakened Dragon Vessel,FTD,very rare,False,,," This vessel can be a potion bottle, drinking horn, or other container meant to hold a liquid. As a bonus action, if the vessel is empty, you can speak the command word to fill the vessel with one of the following (your choice): ale, olive oil, mead, wine, a {@item potion of healing}, a {@item potion of greater healing}, a {@item potion of superior healing}, a {@item potion of climbing}, a {@item potion of fire breath}, or a {@item potion of flying}. Once this property is used, it can't be used until the next dawn. A potion you create in this way loses its magical properties if it isn't imbibed within 24 hours. "
Wakened Dragon-Touched Focus,FTD,very rare,False,,," This wondrous item can be a scepter, an orb, an amulet, a crystal, or another finely crafted object. It typically incorporates imagery of dragons' wings, claws, teeth, or scales. You have advantage on initiative rolls. While you are holding the focus, it can function as a spellcasting focus for all your spells. The focus gains an additional property determined by the family of the dragon in whose hoard it became Stirring: While you are holding a Wakened focus, you can use it to cast certain spells. Once the item is used to cast a given spell, it can't be used to cast that spell again until the next dawn. The spells are determined by the family of the dragon in whose hoard it became Wakened. "
Wakened Scaled Ornament,FTD,very rare,False,,," This ornament can be jewelry, a cloak, or another wearable accessory. It appears to be fashioned from a dragon's scale, tooth, or claw, or it incorporates images in those shapes. You gain a +1 bonus to AC, and you can't be {@condition charmed} or {@condition frightened}. Moreover, each creature of your choice within 30 feet of you has advantage on saving throws it makes to avoid being {@condition charmed} or {@condition frightened} or to end those conditions on itself. When you would take damage of the type dealt by the breath of the dragon in whose hoard the ornament became Wakened, you can use your reaction to take no damage instead, and you regain hit points equal to the damage you would have taken. Once this property is used, it can't be used again until the next dawn. "
Spells,DMG,rare,by a spellcaster,,,"['While holding the wand, you can use an action to expend some of its charges to cast one of the following spells (save DC 17): {@spell hold monster} (5 charges) or {@spell hold person} (2 charges).'] "
Assisted Escape,DMG,rare,by a spellcaster,,,"['While holding the wand, you can use your reaction to expend 1 charge and gain advantage on a saving throw you make to avoid being {@condition paralyzed} or {@condition restrained}, or you can expend 1 charge and gain advantage on any check you make to escape a grapple.'] "
Wand of Binding,DMG,rare,by a spellcaster,,," This wand has 7 charges for the following properties. It regains {@dice 1d6 + 1} expended charges daily at dawn. If you expend the wand's last charge, roll a {@dice d20}. On a 1, the wand crumbles into ashes and is destroyed. "
Wand of Conducting,XGE,common,False,,," This wand has 3 charges. While holding it, you can use an action to expend 1 of its charges and create orchestral music by waving it around. The music can be heard out to a range of 60 feet and ends when you stop waving the wand. The wand regains all expended charges daily at dawn. If you expend the wand's last charge, roll a {@dice d20}. On a 1, a sad tuba sound plays as the wand crumbles to dust and is destroyed. "
Wand of Enemy Detection,DMG,rare,by all race,,," This wand has 7 charges. While holding it, you can use an action and expend 1 charge to speak its command word. For the next minute, you know the direction of the nearest creature hostile to you within 60 feet, but not its distance from you. The wand can sense the presence of hostile creatures that are ethereal, {@condition invisible}, disguised, or hidden, as well as those in plain sight. The effect ends if you stop holding the wand. The wand regains {@dice 1d6 + 1} expended charges daily at dawn. If you expend the wand's last charge, roll a {@dice d20}. On a 1, the wand crumbles into ashes and is destroyed. "
Command,DMG,rare,by all race,,,"['While holding the wand, you can use an action to expend 1 charge and command another creature to flee or grovel, as with the {@spell command} spell (save DC 15).'] "
